OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula 
shape,iterativefit,central,4,0.0,2.5,20.0,10000.0,-15.0,1.1,1.0
shape,iterativefit,down_hfstats2,5,0.0,2.5,20.0,30.0,-15.0,0.0,0.0
shape,iterativefit,down_hfstats2,5,0.0,2.5,20.0,30.0,0.0,0.0785,1.29614579678
shape,iterativefit,down_hfstats2,5,0.0,2.5,20.0,30.0,0.0785,0.174,24.2856928892*(x-0.0785)*(x-0.0785)*(x-0.0785)-11.258624288*(x-0.0785)*(x-0.0785)+0.0*(x-0.0785)+1.2961457967758179
shape,iterativefit,down_hfstats2,5,0.0,2.5,20.0,30.0,0.174,0.2135,2474.49063205*(x-0.174)*(x-0.174)*(x-0.174)-145.743903182*(x-0.174)*(x-0.174)-1.48592246729*(x-0.174)+1.2146167755126953
shape,iterativefit,down_hfstats2,5,0.0,2.5,20.0,30.0,0.2135,0.2615,144.36398965*(x-0.2135)*(x-0.2135)*(x-0.2135)+4.3684885028*(x-0.2135)*(x-0.2135)-1.41721879273*(x-0.2135)+1.0810284614562988
shape,iterativefit,down_hfstats2,5,0.0,2.5,20.0,30.0,0.2615,0.318,-57.7665012509*(x-0.2615)*(x-0.2615)*(x-0.2615)+10.483283966*(x-0.2615)*(x-0.2615)+0.0*(x-0.2615)+1.0390324592590332
shape,iterativefit,down_hfstats2,5,0.0,2.5,20.0,30.0,0.318,0.3795,-598.153517982*(x-0.318)*(x-0.318)*(x-0.318)+50.0463632753*(x-0.318)*(x-0.318)+0.631395747302*(x-0.318)+1.062078833580017
shape,iterativefit,down_hfstats2,5,0.0,2.5,20.0,30.0,0.3795,0.4415,1395.0359969*(x-0.3795)*(x-0.3795)*(x-0.3795)-129.738347711*(x-0.3795)*(x-0.3795)+0.0*(x-0.3795)+1.15106201171875
shape,iterativefit,down_hfstats2,5,0.0,2.5,20.0,30.0,0.4415,0.505,-172.052952806*(x-0.4415)*(x-0.4415)*(x-0.4415)+16.3880437548*(x-0.4415)*(x-0.4415)+0.0*(x-0.4415)+0.9848239421844482
shape,iterativefit,down_hfstats2,5,0.0,2.5,20.0,30.0,0.505,0.5705,501.683653095*(x-0.505)*(x-0.505)*(x-0.505)-49.2904189166*(x-0.505)*(x-0.505)+0.0*(x-0.505)+1.0068508386611938
shape,iterativefit,down_hfstats2,5,0.0,2.5,20.0,30.0,0.5705,0.637,-173.847642764*(x-0.5705)*(x-0.5705)*(x-0.5705)+17.3413023657*(x-0.5705)*(x-0.5705)+0.0*(x-0.5705)+0.9363614320755005
shape,iterativefit,down_hfstats2,5,0.0,2.5,20.0,30.0,0.637,0.703,181.959718907*(x-0.637)*(x-0.637)*(x-0.637)-20.6788890272*(x-0.637)*(x-0.637)+0.0*(x-0.637)+0.9619239568710327
shape,iterativefit,down_hfstats2,5,0.0,2.5,20.0,30.0,0.703,0.769,35.8386096454*(x-0.703)*(x-0.703)*(x-0.703)-0.883145499559*(x-0.703)*(x-0.703)-0.351763744905*(x-0.703)+0.9241594076156616
shape,iterativefit,down_hfstats2,5,0.0,2.5,20.0,30.0,0.769,0.835,-319.368825265*(x-0.769)*(x-0.769)*(x-0.769)+31.6175137013*(x-0.769)*(x-0.769)+0.0*(x-0.769)+0.9073994755744934
shape,iterativefit,down_hfstats2,5,0.0,2.5,20.0,30.0,0.835,0.901,110.668412186*(x-0.835)*(x-0.835)*(x-0.835)-18.2152134007*(x-0.835)*(x-0.835)+0.0*(x-0.835)+0.95330810546875
shape,iterativefit,down_hfstats2,5,0.0,2.5,20.0,30.0,0.901,0.972,22.4306895192*(x-0.901)*(x-0.901)*(x-0.901)-8.50536978073*(x-0.901)*(x-0.901)-0.958193358455*(x-0.901)+0.9057793617248535
shape,iterativefit,down_hfstats2,5,0.0,2.5,20.0,30.0,0.972,1.1,0.802900254726
shape,iterativefit,down_hfstats2,5,0.0,2.5,30.0,50.0,-15.0,0.0,0.0
shape,iterativefit,down_hfstats2,5,0.0,2.5,30.0,50.0,0.0,0.0735,1.18339836597
shape,iterativefit,down_hfstats2,5,0.0,2.5,30.0,50.0,0.0735,0.1705,0.73526706418*(x-0.0735)*(x-0.0735)*(x-0.0735)-0.461981673519*(x-0.0735)*(x-0.0735)-0.887688614247*(x-0.0735)+1.1833983659744263
shape,iterativefit,down_hfstats2,5,0.0,2.5,30.0,50.0,0.1705,0.221,395.981440526*(x-0.1705)*(x-0.1705)*(x-0.1705)-20.5247161447*(x-0.1705)*(x-0.1705)-0.956558675489*(x-0.1705)+1.0936168432235718
shape,iterativefit,down_hfstats2,5,0.0,2.5,30.0,50.0,0.221,0.276,-1170.71511421*(x-0.221)*(x-0.221)*(x-0.221)+96.5839969225*(x-0.221)*(x-0.221)+0.0*(x-0.221)+1.0439649820327759
shape,iterativefit,down_hfstats2,5,0.0,2.5,30.0,50.0,0.276,0.333,26.4533514425*(x-0.276)*(x-0.276)*(x-0.276)-6.65504792192*(x-0.276)*(x-0.276)+0.0*(x-0.276)+1.1413538455963135
shape,iterativefit,down_hfstats2,5,0.0,2.5,30.0,50.0,0.333,0.392,866.601411016*(x-0.333)*(x-0.333)*(x-0.333)-72.4498634631*(x-0.333)*(x-0.333)-0.500834646589*(x-0.333)+1.1246305704116821
shape,iterativefit,down_hfstats2,5,0.0,2.5,30.0,50.0,0.392,0.453,-97.7175492766*(x-0.392)*(x-0.392)*(x-0.392)+11.2580712388*(x-0.392)*(x-0.392)+0.0*(x-0.392)+1.0208650827407837
shape,iterativefit,down_hfstats2,5,0.0,2.5,30.0,50.0,0.453,0.516,-55.2117703285*(x-0.453)*(x-0.453)*(x-0.453)+2.97414968844*(x-0.453)*(x-0.453)+0.282663688559*(x-0.453)+1.0405763387680054
shape,iterativefit,down_hfstats2,5,0.0,2.5,30.0,50.0,0.516,0.58,339.727193932*(x-0.516)*(x-0.516)*(x-0.516)-32.6138106175*(x-0.516)*(x-0.516)+0.0*(x-0.516)+1.0563830137252808
shape,iterativefit,down_hfstats2,5,0.0,2.5,30.0,50.0,0.58,0.6445,-676.838129798*(x-0.58)*(x-0.58)*(x-0.58)+65.4840890579*(x-0.58)*(x-0.58)+0.0*(x-0.58)+1.0118542909622192
shape,iterativefit,down_hfstats2,5,0.0,2.5,30.0,50.0,0.6445,0.7095,377.799205778*(x-0.6445)*(x-0.6445)*(x-0.6445)-44.7562218405*(x-0.6445)*(x-0.6445)+0.0*(x-0.6445)+1.1026643514633179
shape,iterativefit,down_hfstats2,5,0.0,2.5,30.0,50.0,0.7095,0.7745,157.220891005*(x-0.7095)*(x-0.7095)*(x-0.7095)-7.40823759578*(x-0.7095)*(x-0.7095)-1.02970390603*(x-0.7095)+1.0173224210739136
shape,iterativefit,down_hfstats2,5,0.0,2.5,30.0,50.0,0.7745,0.8395,-212.929243655*(x-0.7745)*(x-0.7745)*(x-0.7745)+21.7044331089*(x-0.7745)*(x-0.7745)+0.0*(x-0.7745)+0.9622686505317688
shape,iterativefit,down_hfstats2,5,0.0,2.5,30.0,50.0,0.8395,0.9045,-3.96083933549*(x-0.8395)*(x-0.8395)*(x-0.8395)-0.557650017354*(x-0.8395)*(x-0.8395)+0.122698140833*(x-0.8395)+0.9954941868782043
shape,iterativefit,down_hfstats2,5,0.0,2.5,30.0,50.0,0.9045,0.9735,134.784670852*(x-0.9045)*(x-0.9045)*(x-0.9045)-29.5453024459*(x-0.9045)*(x-0.9045)+0.0*(x-0.9045)+1.000025749206543
shape,iterativefit,down_hfstats2,5,0.0,2.5,30.0,50.0,0.9735,1.1,0.903638541698
shape,iterativefit,down_hfstats2,5,0.0,2.5,50.0,70.0,-15.0,0.0,0.0
shape,iterativefit,down_hfstats2,5,0.0,2.5,50.0,70.0,0.0,0.075,1.21949374676
shape,iterativefit,down_hfstats2,5,0.0,2.5,50.0,70.0,0.075,0.1765,4.8843791332*(x-0.075)*(x-0.075)*(x-0.075)-2.10956908498*(x-0.075)*(x-0.075)-0.346395800465*(x-0.075)+1.2194937467575073
shape,iterativefit,down_hfstats2,5,0.0,2.5,50.0,70.0,0.1765,0.2315,-34.610081827*(x-0.1765)*(x-0.1765)*(x-0.1765)-0.62516091929*(x-0.1765)*(x-0.1765)-0.62367803994*(x-0.1765)+1.1677087545394897
shape,iterativefit,down_hfstats2,5,0.0,2.5,50.0,70.0,0.2315,0.291,561.95570386*(x-0.2315)*(x-0.2315)*(x-0.2315)-41.6962925053*(x-0.2315)*(x-0.2315)-1.00653223364*(x-0.2315)+1.125757098197937
shape,iterativefit,down_hfstats2,5,0.0,2.5,50.0,70.0,0.291,0.353,-986.075626192*(x-0.291)*(x-0.291)*(x-0.291)+91.7050332358*(x-0.291)*(x-0.291)+0.0*(x-0.291)+1.0366262197494507
shape,iterativefit,down_hfstats2,5,0.0,2.5,50.0,70.0,0.353,0.4175,615.924321348*(x-0.353)*(x-0.353)*(x-0.353)-62.0797237302*(x-0.353)*(x-0.353)+0.0*(x-0.353)+1.1541309356689453
shape,iterativefit,down_hfstats2,5,0.0,2.5,50.0,70.0,0.4175,0.483,-40.008644675*(x-0.4175)*(x-0.4175)*(x-0.4175)+4.77066579569*(x-0.4175)*(x-0.4175)-0.321086887537*(x-0.4175)+1.0611385107040405
shape,iterativefit,down_hfstats2,5,0.0,2.5,50.0,70.0,0.483,0.5465,-18.6337954542*(x-0.483)*(x-0.483)*(x-0.483)+0.506306588273*(x-0.483)*(x-0.483)-0.211070931752*(x-0.483)+1.049331784248352
shape,iterativefit,down_hfstats2,5,0.0,2.5,50.0,70.0,0.5465,0.611,246.460006917*(x-0.5465)*(x-0.5465)*(x-0.5465)-20.9599021018*(x-0.5465)*(x-0.5465)-0.372178360202*(x-0.5465)+1.0331991910934448
shape,iterativefit,down_hfstats2,5,0.0,2.5,50.0,70.0,0.611,0.6755,-563.262031427*(x-0.611)*(x-0.611)*(x-0.611)+54.4956015406*(x-0.611)*(x-0.611)+0.0*(x-0.611)+0.9881293773651123
shape,iterativefit,down_hfstats2,5,0.0,2.5,50.0,70.0,0.6755,0.739,724.536842976*(x-0.6755)*(x-0.6755)*(x-0.6755)-69.0121342935*(x-0.6755)*(x-0.6755)+0.0*(x-0.6755)+1.0637011528015137
shape,iterativefit,down_hfstats2,5,0.0,2.5,50.0,70.0,0.739,0.8025,-108.313979863*(x-0.739)*(x-0.739)*(x-0.739)+10.316906582*(x-0.739)*(x-0.739)+0.0*(x-0.739)+0.9709430932998657
shape,iterativefit,down_hfstats2,5,0.0,2.5,50.0,70.0,0.8025,0.8635,317.543409573*(x-0.8025)*(x-0.8025)*(x-0.8025)-29.0552219759*(x-0.8025)*(x-0.8025)+0.0*(x-0.8025)+0.9848098754882812
shape,iterativefit,down_hfstats2,5,0.0,2.5,50.0,70.0,0.8635,0.921,-630.663171578*(x-0.8635)*(x-0.8635)*(x-0.8635)+54.3946985486*(x-0.8635)*(x-0.8635)+0.0*(x-0.8635)+0.9487717151641846
shape,iterativefit,down_hfstats2,5,0.0,2.5,50.0,70.0,0.921,0.9795,71.249174964*(x-0.921)*(x-0.921)*(x-0.921)-30.7082846801*(x-0.921)*(x-0.921)+0.0*(x-0.921)+1.0087192058563232
shape,iterativefit,down_hfstats2,5,0.0,2.5,50.0,70.0,0.9795,1.1,0.917891979218
shape,iterativefit,down_hfstats2,5,0.0,2.5,70.0,100.0,-15.0,0.0,0.0
shape,iterativefit,down_hfstats2,5,0.0,2.5,70.0,100.0,0.0,0.076,1.18702042103
shape,iterativefit,down_hfstats2,5,0.0,2.5,70.0,100.0,0.076,0.1815,-4.40833310225*(x-0.076)*(x-0.076)*(x-0.076)+5.46750681002*(x-0.076)*(x-0.076)-1.00644638838*(x-0.076)+1.1870204210281372
shape,iterativefit,down_hfstats2,5,0.0,2.5,70.0,100.0,0.1815,0.242,-192.179618009*(x-0.1815)*(x-0.1815)*(x-0.1815)+17.4403003343*(x-0.1815)*(x-0.1815)+0.0*(x-0.1815)+1.1365185976028442
shape,iterativefit,down_hfstats2,5,0.0,2.5,70.0,100.0,0.242,0.305,80.2002688125*(x-0.242)*(x-0.242)*(x-0.242)-9.05926848893*(x-0.242)*(x-0.242)+0.0*(x-0.242)+1.1577972173690796
shape,iterativefit,down_hfstats2,5,0.0,2.5,70.0,100.0,0.305,0.37,25.7177069738*(x-0.305)*(x-0.305)*(x-0.305)-1.07268236184*(x-0.305)*(x-0.305)-0.186523228854*(x-0.305)+1.141894817352295
shape,iterativefit,down_hfstats2,5,0.0,2.5,70.0,100.0,0.37,0.436,-142.259503836*(x-0.37)*(x-0.37)*(x-0.37)+14.0836908798*(x-0.37)*(x-0.37)+0.0*(x-0.37)+1.1323014497756958
shape,iterativefit,down_hfstats2,5,0.0,2.5,70.0,100.0,0.436,0.502,794.415953336*(x-0.436)*(x-0.436)*(x-0.436)-78.6471793803*(x-0.436)*(x-0.436)+0.0*(x-0.436)+1.1527509689331055
shape,iterativefit,down_hfstats2,5,0.0,2.5,70.0,100.0,0.502,0.567,-336.534606906*(x-0.502)*(x-0.502)*(x-0.502)+32.8121241733*(x-0.502)*(x-0.502)+0.0*(x-0.502)+1.0385552644729614
shape,iterativefit,down_hfstats2,5,0.0,2.5,70.0,100.0,0.567,0.6315,535.439929167*(x-0.567)*(x-0.567)*(x-0.567)-54.2540847964*(x-0.567)*(x-0.567)+0.0*(x-0.567)+1.0847656726837158
shape,iterativefit,down_hfstats2,5,0.0,2.5,70.0,100.0,0.6315,0.6955,11.0481481928*(x-0.6315)*(x-0.6315)*(x-0.6315)+1.40879217031*(x-0.6315)*(x-0.6315)-0.316085042792*(x-0.6315)+1.0027329921722412
shape,iterativefit,down_hfstats2,5,0.0,2.5,70.0,100.0,0.6955,0.7575,-826.281917959*(x-0.6955)*(x-0.6955)*(x-0.6955)+76.8442183702*(x-0.6955)*(x-0.6955)+0.0*(x-0.6955)+0.9911701679229736
shape,iterativefit,down_hfstats2,5,0.0,2.5,70.0,100.0,0.7575,0.8175,1171.32343628*(x-0.7575)*(x-0.7575)*(x-0.7575)-105.419109265*(x-0.7575)*(x-0.7575)+0.0*(x-0.7575)+1.0896332263946533
shape,iterativefit,down_hfstats2,5,0.0,2.5,70.0,100.0,0.8175,0.875,-444.77419972*(x-0.8175)*(x-0.8175)*(x-0.8175)+38.3617747258*(x-0.8175)*(x-0.8175)+0.0*(x-0.8175)+0.9631302952766418
shape,iterativefit,down_hfstats2,5,0.0,2.5,70.0,100.0,0.875,0.929,27.5615253497*(x-0.875)*(x-0.875)*(x-0.875)-6.1516704033*(x-0.875)*(x-0.875)+0.0*(x-0.875)+1.0054081678390503
shape,iterativefit,down_hfstats2,5,0.0,2.5,70.0,100.0,0.929,0.9825,127.131909189*(x-0.929)*(x-0.929)*(x-0.929)-23.5167197094*(x-0.929)*(x-0.929)-0.423272179797*(x-0.929)+0.9918098449707031
shape,iterativefit,down_hfstats2,5,0.0,2.5,70.0,100.0,0.9825,1.1,0.921321809292
shape,iterativefit,down_hfstats2,5,0.0,2.5,100.0,140.0,-15.0,0.0,0.0
shape,iterativefit,down_hfstats2,5,0.0,2.5,100.0,140.0,0.0,0.077,1.34664297104
shape,iterativefit,down_hfstats2,5,0.0,2.5,100.0,140.0,0.077,0.186,30.076850861*(x-0.077)*(x-0.077)*(x-0.077)+4.93631955016*(x-0.077)*(x-0.077)-2.61118229422*(x-0.077)+1.3466429710388184
shape,iterativefit,down_hfstats2,5,0.0,2.5,100.0,140.0,0.186,0.251,-37.0484649657*(x-0.186)*(x-0.186)*(x-0.186)+5.12526090017*(x-0.186)*(x-0.186)-0.46303543704*(x-0.186)+1.1596229076385498
shape,iterativefit,down_hfstats2,5,0.0,2.5,100.0,140.0,0.251,0.3175,-20.5482219511*(x-0.251)*(x-0.251)*(x-0.251)+1.63074588077*(x-0.251)*(x-0.251)-0.266340813458*(x-0.251)+1.1410053968429565
shape,iterativefit,down_hfstats2,5,0.0,2.5,100.0,140.0,0.3175,0.3845,8.05720159939*(x-0.3175)*(x-0.3175)*(x-0.3175)-2.55477483482*(x-0.3175)*(x-0.3175)-0.322059734886*(x-0.3175)+1.1244624853134155
shape,iterativefit,down_hfstats2,5,0.0,2.5,100.0,140.0,0.3845,0.4515,61.2665689851*(x-0.3845)*(x-0.3845)*(x-0.3845)-6.39391175112*(x-0.3845)*(x-0.3845)-0.555893228813*(x-0.3845)+1.093839406967163
shape,iterativefit,down_hfstats2,5,0.0,2.5,100.0,140.0,0.4515,0.5185,92.5669855037*(x-0.4515)*(x-0.4515)*(x-0.4515)-4.91790354355*(x-0.4515)*(x-0.4515)-0.587600518942*(x-0.4515)+1.0463190078735352
shape,iterativefit,down_hfstats2,5,0.0,2.5,100.0,140.0,0.5185,0.5845,-259.303507922*(x-0.5185)*(x-0.5185)*(x-0.5185)+25.6710472843*(x-0.5185)*(x-0.5185)+0.0*(x-0.5185)+1.0127140283584595
shape,iterativefit,down_hfstats2,5,0.0,2.5,100.0,140.0,0.5845,0.6495,54.6540162333*(x-0.5845)*(x-0.5845)*(x-0.5845)-8.99265872593*(x-0.5845)*(x-0.5845)+0.0*(x-0.5845)+1.0499883890151978
shape,iterativefit,down_hfstats2,5,0.0,2.5,100.0,140.0,0.6495,0.7135,238.890231626*(x-0.6495)*(x-0.6495)*(x-0.6495)-19.2123217782*(x-0.6495)*(x-0.6495)-0.476305978614*(x-0.6495)+1.0270037651062012
