,2016postVFP,process
qcd_200to300,17569141.0,qcd_200to300
zz,1151000.0,zz
st_tW_top,80821596.0546875,st_tW_top
ttbar_2l,3140166855.921875,ttbar_2l
ttG,8868961.103515625,ttG
qcd_50to100,11197186.0,qcd_50to100
qcd_2000toInf,1847781.0,qcd_2000toInf
wz,7584000.0,wz
ttbar_0l,33609112268.0625,ttbar_0l
qcd_700to1000,13750537.0,qcd_700to1000
st_tW_antitop,83026105.25390625,st_tW_antitop
qcd_500to700,14212819.0,qcd_500to700
ttbar_1l,43548451112.03125,ttbar_1l
ww,15821137.255004883,ww
qcd_300to500,16747056.0,qcd_300to500
ttH_nonbb,4656092.7626953125,ttH_nonbb
ttH_bb,4933064.635986328,ttH_bb
qcd_100to200,23717410.0,qcd_100to200
ttW,14396003.0,ttW
qcd_1500to2000,3003707.0,qcd_1500to2000
ttZ,14329456.0,ttZ
tttt,36884.77744293213,tttt
st_tZq,307250.19622802734,st_tZq
qcd_1000to1500,4365993.0,qcd_1000to1500
