version,era,channel,baseline_version,num_sys_dirs,total_sys_files,total_sys_size_MB,consolidated,nominal_dir
v8BDT1tau0l_refactorAndBtagNameFix,2016postVFP,1tau0l,v1baselineHadroBtagWeightAdded_v94HadroPreJetVetoHemOnly,14,3150,9.56106948852539,unknown,/publicfs/cms/user/huahuil/tauOfTTTT_NanoAOD/forMVA/2016postVFP/v1baselineHadroBtagWeightAdded_v94HadroPreJetVetoHemOnly/mc/variableHists_v8BDT1tau0l_refactorAndBtagNameFix
v8BDT1tau0l_refactorAndBtagNameFix,2017,1tau0l,v1baselineHadroBtagWeightAdded_v94HadroPreJetVetoHemOnly,14,3149,9.503754615783691,unknown,/publicfs/cms/user/huahuil/tauOfTTTT_NanoAOD/forMVA/2017/v1baselineHadroBtagWeightAdded_v94HadroPreJetVetoHemOnly/mc/variableHists_v8BDT1tau0l_refactorAndBtagNameFix
v8BDT1tau0l_refactorAndBtagNameFix,2016preVFP,1tau0l,v1baselineHadroBtagWeightAdded_v94HadroPreJetVetoHemOnly,14,3149,9.537266731262207,unknown,/publicfs/cms/user/huahuil/tauOfTTTT_NanoAOD/forMVA/2016preVFP/v1baselineHadroBtagWeightAdded_v94HadroPreJetVetoHemOnly/mc/variableHists_v8BDT1tau0l_refactorAndBtagNameFix
v5BDT1tau2l_tauFMorphFix,2018,1tau2l,v1baselineHadroBtagWeightAdded_v94LepPreJetVetoHemOnlyV2,14,1022,9.44294548034668,unknown,/publicfs/cms/user/huahuil/tauOfTTTT_NanoAOD/forMVA/2018/v1baselineHadroBtagWeightAdded_v94LepPreJetVetoHemOnlyV2/mc/variableHists_v5BDT1tau2l_tauFMorphFix
v4BDT1tau2lV18_fakeTauDataDriven,2018,1tau2l,v1baselineHadroBtagWeightAdded_v94LepPreJetVetoHemOnlyV2,14,1022,9.502474784851074,unknown,/publicfs/cms/user/huahuil/tauOfTTTT_NanoAOD/forMVA/2018/v1baselineHadroBtagWeightAdded_v94LepPreJetVetoHemOnlyV2/mc/variableHists_v4BDT1tau2lV18_fakeTauDataDriven
v3BDT1tau2lV18_fakeTauDataDriven,2018,1tau2l,v1baselineHadroBtagWeightAdded_v94LepPreJetVetoHemOnlyV2,14,1022,9.502528190612793,unknown,/publicfs/cms/user/huahuil/tauOfTTTT_NanoAOD/forMVA/2018/v1baselineHadroBtagWeightAdded_v94LepPreJetVetoHemOnlyV2/mc/variableHists_v3BDT1tau2lV18_fakeTauDataDriven
v5BDT1tau2l_tauFMorphFix,2016postVFP,1tau2l,v1baselineHadroBtagWeightAdded_v94LepPreJetVetoHemOnlyV2,14,1022,9.44283676147461,unknown,/publicfs/cms/user/huahuil/tauOfTTTT_NanoAOD/forMVA/2016postVFP/v1baselineHadroBtagWeightAdded_v94LepPreJetVetoHemOnlyV2/mc/variableHists_v5BDT1tau2l_tauFMorphFix
v4BDT1tau2lV18_fakeTauDataDriven,2016postVFP,1tau2l,v1baselineHadroBtagWeightAdded_v94LepPreJetVetoHemOnlyV2,14,1022,9.502758979797363,unknown,/publicfs/cms/user/huahuil/tauOfTTTT_NanoAOD/forMVA/2016postVFP/v1baselineHadroBtagWeightAdded_v94LepPreJetVetoHemOnlyV2/mc/variableHists_v4BDT1tau2lV18_fakeTauDataDriven
v3BDT1tau2lV18_fakeTauDataDriven,2016postVFP,1tau2l,v1baselineHadroBtagWeightAdded_v94LepPreJetVetoHemOnlyV2,14,1022,9.493924140930176,unknown,/publicfs/cms/user/huahuil/tauOfTTTT_NanoAOD/forMVA/2016postVFP/v1baselineHadroBtagWeightAdded_v94LepPreJetVetoHemOnlyV2/mc/variableHists_v3BDT1tau2lV18_fakeTauDataDriven
v5BDT1tau2l_tauFMorphFix,2017,1tau2l,v1baselineHadroBtagWeightAdded_v94LepPreJetVetoHemOnlyV2,14,1022,9.432550430297852,unknown,/publicfs/cms/user/huahuil/tauOfTTTT_NanoAOD/forMVA/2017/v1baselineHadroBtagWeightAdded_v94LepPreJetVetoHemOnlyV2/mc/variableHists_v5BDT1tau2l_tauFMorphFix
v4BDT1tau2lV18_fakeTauDataDriven,2017,1tau2l,v1baselineHadroBtagWeightAdded_v94LepPreJetVetoHemOnlyV2,14,1022,9.492132186889648,unknown,/publicfs/cms/user/huahuil/tauOfTTTT_NanoAOD/forMVA/2017/v1baselineHadroBtagWeightAdded_v94LepPreJetVetoHemOnlyV2/mc/variableHists_v4BDT1tau2lV18_fakeTauDataDriven
v3BDT1tau2lV18_fakeTauDataDriven,2017,1tau2l,v1baselineHadroBtagWeightAdded_v94LepPreJetVetoHemOnlyV2,14,1022,9.492074012756348,unknown,/publicfs/cms/user/huahuil/tauOfTTTT_NanoAOD/forMVA/2017/v1baselineHadroBtagWeightAdded_v94LepPreJetVetoHemOnlyV2/mc/variableHists_v3BDT1tau2lV18_fakeTauDataDriven
v5BDT1tau2l_tauFMorphFix,2016preVFP,1tau2l,v1baselineHadroBtagWeightAdded_v94LepPreJetVetoHemOnlyV2,14,1022,9.45643424987793,unknown,/publicfs/cms/user/huahuil/tauOfTTTT_NanoAOD/forMVA/2016preVFP/v1baselineHadroBtagWeightAdded_v94LepPreJetVetoHemOnlyV2/mc/variableHists_v5BDT1tau2l_tauFMorphFix
v4BDT1tau2lV18_fakeTauDataDriven,2016preVFP,1tau2l,v1baselineHadroBtagWeightAdded_v94LepPreJetVetoHemOnlyV2,14,1022,9.516203880310059,unknown,/publicfs/cms/user/huahuil/tauOfTTTT_NanoAOD/forMVA/2016preVFP/v1baselineHadroBtagWeightAdded_v94LepPreJetVetoHemOnlyV2/mc/variableHists_v4BDT1tau2lV18_fakeTauDataDriven
v3BDT1tau2lV18_fakeTauDataDriven,2016preVFP,1tau2l,v1baselineHadroBtagWeightAdded_v94LepPreJetVetoHemOnlyV2,14,1022,9.51650619506836,unknown,/publicfs/cms/user/huahuil/tauOfTTTT_NanoAOD/forMVA/2016preVFP/v1baselineHadroBtagWeightAdded_v94LepPreJetVetoHemOnlyV2/mc/variableHists_v3BDT1tau2lV18_fakeTauDataDriven
v8BDT1tau1lV_refactorAndBtagNameFix,2018,1tau1l,v1baselineHadroBtagWeightAdded_v94HadroPreJetVetoHemOnly,14,826,7.769261360168457,unknown,/publicfs/cms/user/huahuil/tauOfTTTT_NanoAOD/forMVA/2018/v1baselineHadroBtagWeightAdded_v94HadroPreJetVetoHemOnly/mc/variableHists_v8BDT1tau1lV_refactorAndBtagNameFix
v3BDT1tau1lV18_fakeTauDataDriven,2018,1tau1l,v1baselineHadroBtagWeightAdded_v94HadroPreJetVetoHemOnly,14,826,7.7200164794921875,unknown,/publicfs/cms/user/huahuil/tauOfTTTT_NanoAOD/forMVA/2018/v1baselineHadroBtagWeightAdded_v94HadroPreJetVetoHemOnly/mc/variableHists_v3BDT1tau1lV18_fakeTauDataDriven
v0BDT1tau1lV16,2018,1tau1l,v1baselineHadroBtagWeightAdded_v94HadroPreJetVetoHemOnly,14,826,7.827425956726074,unknown,/publicfs/cms/user/huahuil/tauOfTTTT_NanoAOD/forMVA/2018/v1baselineHadroBtagWeightAdded_v94HadroPreJetVetoHemOnly/mc/variableHists_v0BDT1tau1lV16
v0BDT1tau1lV17,2018,1tau1l,v1baselineHadroBtagWeightAdded_v94HadroPreJetVetoHemOnly,14,826,7.811872482299805,unknown,/publicfs/cms/user/huahuil/tauOfTTTT_NanoAOD/forMVA/2018/v1baselineHadroBtagWeightAdded_v94HadroPreJetVetoHemOnly/mc/variableHists_v0BDT1tau1lV17
v0BDT1tau1lV15,2018,1tau1l,v1baselineHadroBtagWeightAdded_v94HadroPreJetVetoHemOnly,14,826,7.827486991882324,unknown,/publicfs/cms/user/huahuil/tauOfTTTT_NanoAOD/forMVA/2018/v1baselineHadroBtagWeightAdded_v94HadroPreJetVetoHemOnly/mc/variableHists_v0BDT1tau1lV15
