era,baseline_version,version,channel,total_files,root_files,jobSH_files,log_files,other_files,hist_dir
2018,v1baselineHadroBtagWeightAdded_v94HadroPreJetVetoHemOnly,v0BDT1tau1lV17,1tau1l,1050,82,86,164,718,/publicfs/cms/user/huahuil/tauOfTTTT_NanoAOD/forMVA/2018/v1baselineHadroBtagWeightAdded_v94HadroPreJetVetoHemOnly/mc/variableHists_v0BDT1tau1lV17
2018,v0baselineLepTriggerSF_v91TESAddedLepPre,v0BDT1tau2l,1tau2l,833,71,89,142,531,/publicfs/cms/user/huahuil/tauOfTTTT_NanoAOD/forMVA/2018/v0baselineLepTriggerSF_v91TESAddedLepPre/mc/variableHists_v0BDT1tau2l
2018,v1baselineHadroBtagWeightAdded_v94HadroPreJetVetoHemOnly,v0BDT1tau0lV17,1tau0l,695,82,86,164,363,/publicfs/cms/user/huahuil/tauOfTTTT_NanoAOD/forMVA/2018/v1baselineHadroBtagWeightAdded_v94HadroPreJetVetoHemOnly/mc/variableHists_v0BDT1tau0lV17
2018,v0baselineHadro_v91TESAddedHadroPre,v0BDT1tau1l,1tau1l,682,78,82,156,366,/publicfs/cms/user/huahuil/tauOfTTTT_NanoAOD/forMVA/2018/v0baselineHadro_v91TESAddedHadroPre/mc/variableHists_v0BDT1tau1l
2018,v0baselineHadro_v94HadroPreJetVetoHemOnly_backupV2,v0BDT1tau0l,1tau0l,645,90,92,176,287,/publicfs/cms/user/huahuil/tauOfTTTT_NanoAOD/forMVA/2018/v0baselineHadro_v94HadroPreJetVetoHemOnly_backupV2/mc/variableHists_v0BDT1tau0l
2018,v0baselineHardro_v88PSWeightFixedHadroPre,v0BDT1tau1l,1tau1l,640,81,85,162,312,/publicfs/cms/user/huahuil/tauOfTTTT_NanoAOD/forMVA/2018/v0baselineHardro_v88PSWeightFixedHadroPre/mc/variableHists_v0BDT1tau1l
2018,v1baselineHadroBtagWeightAdded_v94HadroPreJetVetoHemOnly,v3BDT1tau1lV18_fakeTauDataDriven,1tau1l,627,82,86,164,295,/publicfs/cms/user/huahuil/tauOfTTTT_NanoAOD/forMVA/2018/v1baselineHadroBtagWeightAdded_v94HadroPreJetVetoHemOnly/mc/variableHists_v3BDT1tau1lV18_fakeTauDataDriven
2018,v0baselineHadro_v90MuonESHadroPre,v0BDT1tau1l,1tau1l,615,84,88,168,275,/publicfs/cms/user/huahuil/tauOfTTTT_NanoAOD/forMVA/2018/v0baselineHadro_v90MuonESHadroPre/mc/variableHists_v0BDT1tau1l
2017,v0baselineHadroV2_v88PSWeightFixedHadroPre,v0BDT1tau1l,1tau1l,603,78,88,156,281,/publicfs/cms/user/huahuil/tauOfTTTT_NanoAOD/forMVA/2017/v0baselineHadroV2_v88PSWeightFixedHadroPre/mc/variableHists_v0BDT1tau1l
2018,v0baselineHadro_newFRBinATauFMorphBugFix_v94HadroPreJetVetoHemOnly,v1dataMC_fakeTauDataDriven,unknown,557,82,86,164,225,/publicfs/cms/user/huahuil/tauOfTTTT_NanoAOD/forMVA/2018/v0baselineHadro_newFRBinATauFMorphBugFix_v94HadroPreJetVetoHemOnly/mc/variableHists_v1dataMC_fakeTauDataDriven
